Codi del centre;Nom del centre;Adreça del centre;Codi municipi del centre;Municipi del centre;Districte municipal del centre;Codi postal del centre;Telèfon del centre;Telèfon 2 del centre;Codi naturalesa;Nom naturalesa;Codi titularitat;Nom titularitat;Servei d'educació de Catalunya;Codi comarca del centre;Comarca del centre;Codi localitat del centre;Codi àrea territorial del centre;Àrea territorial del centre
08018601;Sant Josep Obrer;c. Covadonga, s/n;08101;L'Hospitalet de Llobregat;Pubilla Casas;08906;934381745;934377627;3;Concertat;24;Ordes i Congregacions Catòlics;S;13;Barcelonès;0810101;0208;Barcelona Comarques
08018871;Joan XXIII;av.Mare de Déu de Bellvitge,100-110;08101;L'Hospitalet de Llobregat;Bellvitge - Polígon Gornal;08907;933351543;933356670;3;Concertat;22;Fundacions;S;13;Barcelonès;0810101;0208;Barcelona Comarques
08019401;Institut Provençana;c. de Sant Pius X, 8;08101;L'Hospitalet de Llobregat;Centre - Sant Josep - Santfeliu;08901;933382553;933375735;1;Públic;01;Departament d'Ensenyament;S;13;Barcelonès;0810101;0208;Barcelona Comarques
08019654;Institut Milà i Fontanals;av. Emili Vallès, 4;08102;Igualada;;08700;938055750;938050292;1;Públic;01;Departament d'Ensenyament;S;06;Anoia;0810201;1060;Catalunya Central
08019952;La Salle Manlleu;c. Enric Delaris, 68;08112;Manlleu;;08560;938506064;938507938;3;Concertat;24;Ordes i Congregacions Catòlics;S;24;Osona;0811201;1060;Catalunya Central
08020036;Joviat;c. Rubió i Ors, 5-17;08113;Manresa;;08240;938726988;938728581;3;Concertat;22;Fundacions;S;07;Bages;0811306;1060;Catalunya Central
08020462;Institut Lacetània;av. Bases de Manresa, 51-59;08113;Manresa;;08240;938773750;938770609;1;Públic;01;Departament d'Ensenyament;S;07;Bages;0811306;1060;Catalunya Central
08021107;Escola Pia de Mataró;pl. Santa Anna, 1;08121;Mataró;;08302;937901627;937551825;3;Concertat;24;Ordes i Congregacions Catòlics;S;21;Maresme;0812101;0508;Maresme-Vallès Oriental
08021259;Institut Miquel Biada;c. Puig i Cadafalch, 89;08121;Mataró;;08303;937981489;937984532;1;Públic;04;Corporacions Locals;S;21;Maresme;0812101;0508;Maresme-Vallès Oriental
08021594;Institut de Mollet del Vallès;av. Burgos, 96;08124;Mollet del Vallès;;08100;935705354;935707134;1;Públic;01;Departament d'Ensenyament;S;41;Vallès Oriental;0812401;0508;Maresme-Vallès Oriental
08023803;Regina Carmeli;c. Sant Sebastià, 34;08184;Rubí;;08191;936990353;936990353;3;Concertat;24;Ordes i Congregacions Catòlics;S;40;Vallès Occidental;0818401;0408;Vallès Occidental
08024467;Taulé Viñas;Via Massagué 85;08187;Sabadell;Sabadell 1;08201;937252158;937276046;3;Concertat;26;Societats Mercantils;S;40;Vallès Occidental;0818703;0408;Vallès Occidental
08024741;Institut Escola Industrial;c. Calderón, 56;08187;Sabadell;Sabadell 1;08201;937258744;937272209;1;Públic;01;Departament d'Ensenyament;S;40;Vallès Occidental;0818703;0408;Vallès Occidental
08025605;Institut Camps Blancs;av. Aragó, 40;08200;Sant Boi de Llobregat;;08830;936407312;936401459;1;Públic;01;Departament d'Ensenyament;S;11;Baix Llobregat;0820001;0308;Baix Llobregat
08026683;Institut Francesc Ferrer i Guàrdia;av. de la Generalitat, 30;08217;Sant Joan Despí;;08970;933731611;933738209;1;Públic;01;Departament d'Ensenyament;S;11;Baix Llobregat;0821701;0308;Baix Llobregat
08028047;Institut Puig Castellar;c. Anselm Rius, 10;08245;Santa Coloma de Gramenet;Santa Coloma de Gramenet 3;08924;933916111;933924407;1;Públic;01;Departament d'Ensenyament;S;13;Barcelonès;0824501;0208;Barcelona Comarques
08028540;Montserrat;c. Enginyer Llansó, 24;08262;Sant Vicenç de Castellet;;08295;938331259;938331259;3;Concertat;41;Persones Físiques;S;07;Bages;0826203;1060;Catalunya Central
08029763;Sant Domènec Savio;c. Maria Auxiliadora, 45;08279;Terrassa;Terrassa 4;08224;937336013;937885122;3;Concertat;24;Ordes i Congregacions Catòlics;S;40;Vallès Occidental;0827904;0408;Vallès Occidental
08030339;Institut de Terrassa;rbla. d'Egara, 331;08279;Terrassa;Terrassa 4;08224;937330490;937883591;1;Públic;01;Departament d'Ensenyament;S;40;Vallès Occidental;0827904;0408;Vallès Occidental
08031022;Institut de Vic;av. Sant Bernat Calbó, 8;08298;Vic;;08500;938891878;938890440;1;Públic;01;Departament d'Ensenyament;S;24;Osona;0829801;1060;Catalunya Central
08031228;Institut Torre Roja;av. dels Jocs Olímpics, 8;08301;Viladecans;;08840;936373700;936587250;1;Públic;01;Departament d'Ensenyament;S;11;Baix Llobregat;0830101;0308;Baix Llobregat
08031459;Institut Eugeni d'Ors;av. Tarragona, s/n;08305;Vilafranca del Penedès;;08720;938903833;938900620;1;Públic;01;Departament d'Ensenyament;S;03;Alt Penedès;0830505;0208;Barcelona Comarques
08031502;Santa Teresa de Jesús;rbla. Principal, 71;08307;Vilanova i la Geltrú;;08800;938930617;938931074;3;Concertat;22;Fundacions;S;17;Garraf;0830701;0208;Barcelona Comarques
08031836;Institut Illa dels Banyols;c. Lo Gaiter del Llobregat, 121-123;08169;El Prat de Llobregat;;08820;933706211;934784734;1;Públic;01;Departament d'Ensenyament;S;11;Baix Llobregat;0816901;0308;Baix Llobregat
08031897;Bemen 3;c. Sant Ferran, 19-25;08019;Barcelona;Nou Barris;08031;933571258;933571400;3;Concertat;26;Societats Mercantils;S;13;Barcelonès;0801901;0108;Consorci d'Educació de Barcelona
08031927;Escola Tècnico-Professional Xavier;av. Francesc Cambó, 12.;08019;Barcelona;Ciutat vella;08003;933191700;932684661;3;Concertat;24;Ordes i Congregacions Catòlics;S;13;Barcelonès;0801901;0108;Consorci d'Educació de Barcelona
08031976;CEFP Núria;c.Montflorit,47/c.Apel.les Mestres,52-58;08089;Gavà;;08850;936622113;936622592;3;Concertat;26;Societats Mercantils;S;11;Baix Llobregat;0808904;0308;Baix Llobregat
08032051;Català Comercial;c. Bruc, 16-18;08245;Santa Coloma de Gramenet;Santa Coloma de Gramenet 6;08921;933862942;933862942;3;Concertat;26;Societats Mercantils;S;13;Barcelonès;0824501;0208;Barcelona Comarques
08032063;Salesians Sant Vicenç dels Horts;c. Rafael Casanova, 132;08263;Sant Vicenç dels Horts;;08620;936562058;936562352;3;Concertat;24;Ordes i Congregacions Catòlics;S;11;Baix Llobregat;0826301;0308;Baix Llobregat
08032208;Centre d'Estudis Politècnics;pl. Urquinaona, 10;08019;Barcelona;Ciutat vella;08010;933020224;934125193;3;Concertat;26;Societats Mercantils;S;13;Barcelonès;0801901;0108;Consorci d'Educació de Barcelona
08032361;Stucom;c. Pelai, 8;08019;Barcelona;Ciutat vella;08001;933015696;933019836;3;Concertat;26;Societats Mercantils;S;13;Barcelonès;0801901;0108;Consorci d'Educació de Barcelona
08033638;Centre Català Comercial;c. Escòcia, 130;08019;Barcelona;Nou Barris;08016;933525658;933404008;3;Concertat;26;Societats Mercantils;S;13;Barcelonès;0801901;0108;Consorci d'Educació de Barcelona
08033912;Institut Mercè Rodoreda;rbla. Marina, 393;08101;L'Hospitalet de Llobregat;Centre - Sant Josep - Santfeliu;08907;933388253;932610832;1;Públic;01;Departament d'Ensenyament;S;13;Barcelonès;0810101;0208;Barcelona Comarques
08034059;Institut Nicolau Copèrnic;c. del Torrent del Batlle, 10;08279;Terrassa;Terrassa 5;08225;937807517;937807366;1;Públic;01;Departament d'Ensenyament;S;40;Vallès Occidental;0827904;0408;Vallès Occidental
08034138;Institut Poblenou;c. Doctor Josep Trueta, 206;08019;Barcelona;Sant Martí;08005;932253792;932253790;1;Públic;01;Departament d'Ensenyament;S;13;Barcelonès;0801901;0108;Consorci d'Educació de Barcelona
08034205;Institut La Guineueta;c. Artesania, 53-55;08019;Barcelona;Nou Barris;08042;933593404;933546932;1;Públic;01;Departament d'Ensenyament;S;13;Barcelonès;0801901;0108;Consorci d'Educació de Barcelona
08034217;Institut Bernat el Ferrer;c. Ntra. Sra. de Lourdes, 34;08123;Molins de Rei;;08750;936683762;936687008;1;Públic;01;Departament d'Ensenyament;S;11;Baix Llobregat;0812301;0308;Baix Llobregat
08034606;Institut Baix Montseny;pça. de Muriel Casals, 2;08202;Sant Celoni;;08470;938673470;938675921;1;Públic;01;Departament d'Ensenyament;S;41;Vallès Oriental;0820206;0508;Maresme-Vallès Oriental
08034709;Institut Narcís Monturiol;pg. Salvat Papasseit, s/n;08019;Barcelona;Ciutat vella;08003;933107226;933151310;1;Públic;04;Corporacions Locals;S;13;Barcelonès;0801901;0108;Consorci d'Educació de Barcelona
08034916;Joan Maragall;c. Guifré, 300;08015;Badalona;;08918;933833657;;3;Concertat;26;Societats Mercantils;S;13;Barcelonès;0801501;0208;Barcelona Comarques
08035015;López Vicuña;c. Consell de Cent, 395-397;08019;Barcelona;Eixample;08009;934876594;934878577;3;Concertat;24;Ordes i Congregacions Catòlics;S;13;Barcelonès;0801901;0108;Consorci d'Educació de Barcelona
08035155;Institut Els Tres Turons;ptge. Tres Turons, 1;08006;Arenys de Mar;;08350;937959603;937959606;1;Públic;01;Departament d'Ensenyament;S;21;Maresme;0800601;0508;Maresme-Vallès Oriental
08035234;Institut Vil·la Romana;c. Santa Maria del Camí, s/n;08088;La Garriga;;08530;938718303;938716601;1;Públic;01;Departament d'Ensenyament;S;41;Vallès Oriental;0808801;0508;Maresme-Vallès Oriental
08035295;Institut Palau Ausit;ctra. de Santiga, s/n;08180;Ripollet;;08291;936923204;935807211;1;Públic;01;Departament d'Ensenyament;S;40;Vallès Occidental;0818001;0408;Vallès Occidental
08035349;Institut La Romànica;rda. de Santa Maria, 310;08252;Barberà del Vallès;;08210;937182654;937293553;1;Públic;01;Departament d'Ensenyament;S;40;Vallès Occidental;0825202;0408;Vallès Occidental
08035787;Freta;c. Costa i Fornaguera, 2-14;08035;Calella;;08370;937661983;937662819;3;Concertat;26;Societats Mercantils;S;21;Maresme;0803501;0508;Maresme-Vallès Oriental
08035805;Jaume Viladoms;c. Doctor Almera, 33;08187;Sabadell;Sabadell 5;08205;937269995;937260859;3;Concertat;26;Societats Mercantils;S;40;Vallès Occidental;0818703;0408;Vallès Occidental
08037152;Institut Joan Oró;c. Feliu Duran i Canyameres, 7;08114;Martorell;;08760;937753618;937753440;1;Públic;01;Departament d'Ensenyament;S;11;Baix Llobregat;0811402;0308;Baix Llobregat
08037346;Santapau-Pifma;c. Alella, 51;08019;Barcelona;Nou Barris;08016;934080126;933499016;3;Concertat;26;Societats Mercantils;S;13;Barcelonès;0801901;0108;Consorci d'Educació de Barcelona
08037395;Monlau;c. Monlau, 2,4,6;08019;Barcelona;Sant Andreu;08027;933408204;933407712;3;Concertat;26;Societats Mercantils;S;13;Barcelonès;0801901;0108;Consorci d'Educació de Barcelona
08038673;Dolmen;c. Riera Blanca, 184-186;08101;L'Hospitalet de Llobregat;Collblanc - Torrassa;08902;933310400;933310550;3;Concertat;26;Societats Mercantils;S;13;Barcelonès;0810101;0208;Barcelona Comarques
08038867;Jaume Balmes;Travessia Industrial, 161;08101;L'Hospitalet de Llobregat;Bellvitge - Polígon Gornal;08907;933365654;932631280;3;Concertat;21;Cooperatives;S;13;Barcelonès;0810101;0208;Barcelona Comarques
08039203;Institut Agustí Serra i Fontanet;c. Vallmanyà, 13-15;08187;Sabadell;Sabadell 3;08207;937230312;937233648;1;Públic;01;Departament d'Ensenyament;S;40;Vallès Occidental;0818703;0408;Vallès Occidental
08041519;Institut Martí Dot;c. Josep Teixidor, 2-12;08211;Sant Feliu de Llobregat;;08980;936851801;936855059;1;Públic;01;Departament d'Ensenyament;S;11;Baix Llobregat;0821101;0308;Baix Llobregat
08041866;Institut El Calamot;av. Joan Carles I, 62;08089;Gavà;;08850;936334450;936625801;1;Públic;01;Departament d'Ensenyament;S;11;Baix Llobregat;0808904;0308;Baix Llobregat
08042019;Institut Badalona VII;c. Ausiàs March, 86;08015;Badalona;;08912;933978511;933978541;1;Públic;01;Departament d'Ensenyament;S;13;Barcelonès;0801501;0208;Barcelona Comarques
08042044;Institut Mig-Món;c. Ramon i Cajal, 9-11;08274;Súria;;08260;938696350;938694650;1;Públic;01;Departament d'Ensenyament;S;07;Bages;0827401;1060;Catalunya Central
08042056;Institut Can Puig;c. Joan Maragall, s/n;08231;Sant Pere de Ribes;;08810;938961405;938960497;1;Públic;01;Departament d'Ensenyament;S;17;Garraf;0823105;0208;Barcelona Comarques
08042101;Institut Manuel Vázquez Montalbán;av. Eduard Maristany, 59-61;08194;Sant Adrià de Besòs;;08930;933819005;933813711;1;Públic;01;Departament d'Ensenyament;S;13;Barcelonès;0819401;0208;Barcelona Comarques
08042342;Institut de Badia del Vallès;c. Mallorca, s/n;08904;Badia del Vallès;;08214;937187506;937181821;1;Públic;01;Departament d'Ensenyament;S;40;Vallès Occidental;0890401;0408;Vallès Occidental
08042573;Institut Lluïsa Cura;rda. Sant Antoni, 19;08019;Barcelona;Eixample;08011;933255197;934266040;1;Públic;04;Corporacions Locals;S;13;Barcelonès;0801901;0108;Consorci d'Educació de Barcelona
08043486;Institut Manolo Hugué;c. Josep Germà, 2;08033;Caldes de Montbui;;08140;938653762;938653318;1;Públic;01;Departament d'Ensenyament;S;41;Vallès Oriental;0803301;0508;Maresme-Vallès Oriental
08043498;Esc. Viticultura i Enolo. Mercè Rossell i Domènech;Barri d'Espiells;08240;Sant Sadurní d'Anoia;;08770;938911412;938912088;1;Públic;02;Altres Departaments;S;03;Alt Penedès;0824005;0208;Barcelona Comarques
08043516;Institut Santa Eulàlia;av. Santa Eulàlia, 72;08279;Terrassa;Terrassa 3;08223;937314089;937835755;1;Públic;01;Departament d'Ensenyament;S;40;Vallès Occidental;0827904;0408;Vallès Occidental
08043644;Institut Carles Vallbona;Camp de les Moreres, 14;08096;Granollers;;08401;938600021;938791981;1;Públic;01;Departament d'Ensenyament;S;41;Vallès Oriental;0809601;0508;Maresme-Vallès Oriental
08043656;Institut Marina;c. Estació, s/n;08105;La Llagosta;;08120;935607331;935742546;1;Públic;01;Departament d'Ensenyament;S;41;Vallès Oriental;0810501;0508;Maresme-Vallès Oriental
08043668;Institut L'Estatut;c. Flammarion, 1;08184;Rubí;;08191;935880858;935880558;1;Públic;01;Departament d'Ensenyament;S;40;Vallès Occidental;0818401;0408;Vallès Occidental
08043671;Institut El Palau;c. Empordà, 7-13;08196;Sant Andreu de la Barca;;08740;936531659;936533705;1;Públic;01;Departament d'Ensenyament;S;11;Baix Llobregat;0819603;0308;Baix Llobregat
08043681;Institut Marianao;pg. de les Mimoses, 18;08200;Sant Boi de Llobregat;;08830;936407858;936401733;1;Públic;01;Departament d'Ensenyament;S;11;Baix Llobregat;0820001;0308;Baix Llobregat
08043693;Institut Joaquim Mir;av. Vilafranca, s/n;08307;Vilanova i la Geltrú;;08800;938933648;938143544;1;Públic;01;Departament d'Ensenyament;S;17;Garraf;0830701;0208;Barcelona Comarques
08043978;Institut Daniel Blanxart i Pedrals;c. Vall d'Aran, 96-98;08147;Olesa de Montserrat;;08640;937780734;937783588;1;Públic;01;Departament d'Ensenyament;S;11;Baix Llobregat;0814701;0308;Baix Llobregat
08043981;Institut Joan Ramon Benaprès;Camí de la Fita, s/n;08270;Sitges;;08870;938943712;938943250;1;Públic;01;Departament d'Ensenyament;S;17;Garraf;0827003;0208;Barcelona Comarques
08044326;Roca;av. Meridiana, 263;08019;Barcelona;Sant Andreu;08027;932430770;933525345;3;Concertat;26;Societats Mercantils;S;13;Barcelonès;0801901;0108;Consorci d'Educació de Barcelona
08044533;Institut La Ferreria;c. del Progrés, 57;08125;Montcada i Reixac;;08110;935752184;935752785;1;Públic;01;Departament d'Ensenyament;S;40;Vallès Occidental;0812502;0408;Vallès Occidental
08044594;Institut Giola;c. Tulipa, s/n;08106;Llinars del Vallès;;08450;938412866;938413123;1;Públic;01;Departament d'Ensenyament;S;41;Vallès Oriental;0810601;0508;Maresme-Vallès Oriental
08044612;Institut Torre de Malla;av. Espanya, 116;08159;Parets del Vallès;;08150;935623203;935730695;1;Públic;01;Departament d'Ensenyament;S;41;Vallès Oriental;0815903;0508;Maresme-Vallès Oriental
08044624;Institut Sabadell;c. Juvenal, 1;08187;Sabadell;Sabadell 4;08206;937233905;937168952;1;Públic;01;Departament d'Ensenyament;S;40;Vallès Occidental;0818703;0408;Vallès Occidental
08044715;Institut Jaume Mimó;c. Serra dels Galliners, s/n;08266;Cerdanyola del Vallès;;08290;935803994;936918115;1;Públic;01;Departament d'Ensenyament;S;40;Vallès Occidental;0826601;0408;Vallès Occidental
08044934;Institut Escola d'Hoteleria i Turisme de Barcelona;c. Pintor Alsamora, 3-5;08019;Barcelona;Nou Barris;08016;934080018;934080196;1;Públic;01;Departament d'Ensenyament;S;13;Barcelonès;0801901;0108;Consorci d'Educació de Barcelona
08044983;Institut Lluís Companys;c. Joan Maragall, s/n;08284;Tordera;;08490;937650822;937650822;1;Públic;01;Departament d'Ensenyament;S;21;Maresme;0828401;0508;Maresme-Vallès Oriental
08044995;Institut Barres i Ones;ctra. Antiga de València, 95;08015;Badalona;;08913;933874404;933834770;1;Públic;01;Departament d'Ensenyament;S;13;Barcelonès;0801501;0208;Barcelona Comarques
08045021;Institut Estela Ibèrica;c. Passatge de mas Granollacs, s/n;08260;Santa Perpètua de Mogoda;;08130;935740670;935741934;1;Públic;01;Departament d'Ensenyament;S;40;Vallès Occidental;0826003;0408;Vallès Occidental
08045239;Institut Escola Intermunicipal del Penedès;pl. Santiago Rusiñol, s/n;08240;Sant Sadurní d'Anoia;;08770;938912061;938911738;1;Públic;04;Corporacions Locals;S;03;Alt Penedès;0824005;0208;Barcelona Comarques
08045306;Institut Ramon Casas i Carbó;c. Lluis Companys, 2;08156;Palau-solità i Plegamans;;08184;938649595;938649595;1;Públic;01;Departament d'Ensenyament;S;40;Vallès Occidental;0815605;0408;Vallès Occidental
08045471;Institut Pompeu Fabra;c. Molí de la Torre, 34-58;08015;Badalona;;08915;933836311;933835759;1;Públic;01;Departament d'Ensenyament;S;13;Barcelonès;0801501;0208;Barcelona Comarques
08046682;Institut de Castellar;c. Carrasco i Formiguera, 6;08051;Castellar del Vallès;;08211;937144344;937144344;1;Públic;01;Departament d'Ensenyament;S;40;Vallès Occidental;0805104;0408;Vallès Occidental
08046724;Institut Montserrat Roig;c. Cervantes, 46;08279;Terrassa;Terrassa 1;08221;937336580;937893096;1;Públic;01;Departament d'Ensenyament;S;40;Vallès Occidental;0827904;0408;Vallès Occidental
08046748;Institut Thos i Codina;riera de Cirera, 57;08121;Mataró;;08304;937414203;937574415;1;Públic;01;Departament d'Ensenyament;S;21;Maresme;0812101;0508;Maresme-Vallès Oriental
08046761;Institut Guillem Catà;c. de Rosa Sensat, 6-8;08113;Manresa;;08243;938773705;938734504;1;Públic;01;Departament d'Ensenyament;S;07;Bages;0811306;1060;Catalunya Central
08046785;Institut d'Alella;av. del Bosquet, 7;08003;Alella;;08328;935403110;935400515;1;Públic;01;Departament d'Ensenyament;S;21;Maresme;0800301;0508;Maresme-Vallès Oriental
08046840;Institut Castellet;c. Bisbe Perelló, s/n;08262;Sant Vicenç de Castellet;;08295;938330751;938334306;1;Públic;01;Departament d'Ensenyament;S;07;Bages;0826203;1060;Catalunya Central
08047480;Institut Mediterrània;ctra. de la Sentiu, 2;08056;Castelldefels;;08860;936641691;936642198;1;Públic;01;Departament d'Ensenyament;S;11;Baix Llobregat;0805601;0308;Baix Llobregat
08047820;Institut Guinovarda;c. Pompeu Fabra, 17;08161;Piera;;08784;937760701;937788579;1;Públic;01;Departament d'Ensenyament;S;06;Anoia;0816108;1060;Catalunya Central
08051264;Institut Eduard Fontserè;c. Mimoses, 31;08101;L'Hospitalet de Llobregat;La Florida;08905;934495594;934495606;1;Públic;01;Departament d'Ensenyament;S;13;Barcelonès;0810101;0208;Barcelona Comarques
08052700;Institut Vall d'Hebron;pg. de la Vall d'Hebron, 93-95;08019;Barcelona;Horta - Guinardó;08035;932125004;934176254;1;Públic;01;Departament d'Ensenyament;S;13;Barcelonès;0801901;0108;Consorci d'Educació de Barcelona
08052955;Institut de Lliçà;av. dels Països Catalans, 26;08107;Lliçà d'Amunt;;08186;938416625;938416648;1;Públic;01;Departament d'Ensenyament;S;41;Vallès Oriental;0810701;0508;Maresme-Vallès Oriental
08053054;Institut Gerbert d'Aurillac;av. Lluís Companys, s/n;08213;Sant Fruitós de Bages;;08272;938761821;938788320;1;Públic;01;Departament d'Ensenyament;S;07;Bages;0821303;1060;Catalunya Central
08053145;Institut Castellbisbal;Plaça Lluís Companys, 7;08054;Castellbisbal;;08755;937721969;937721624;1;Públic;01;Departament d'Ensenyament;S;40;Vallès Occidental;0805401;0408;Vallès Occidental
08053251;Institut Cavall Bernat;c. la Castellassa, s/n;08279;Terrassa;Terrassa 6;08227;937851143;937315113;1;Públic;01;Departament d'Ensenyament;S;40;Vallès Occidental;0827904;0408;Vallès Occidental
08053340;Institut Gabriela Mistral;c. Osca, 95-105;08263;Sant Vicenç dels Horts;;08620;936560000;936563031;1;Públic;01;Departament d'Ensenyament;S;11;Baix Llobregat;0826301;0308;Baix Llobregat
08054034;Institut Gallecs;pg. Cesc Bas, 3;08124;Mollet del Vallès;;08100;935705343;935707629;1;Públic;01;Departament d'Ensenyament;S;41;Vallès Oriental;0812401;0508;Maresme-Vallès Oriental
08054277;Institut de Tona;c. Torres i Bages, 32;08283;Tona;;08551;938125723;938123024;1;Públic;01;Departament d'Ensenyament;S;24;Osona;0828301;1060;Catalunya Central
